# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1711633906401952103,Tue Oct 10 06:44:58 +0000 2023,2,Siang Bali Panas Gibran Marshanda Shin Tae-Young PT KAI Matthew Putus Congratulations Jungkook DPR Live puck Cakwe https://t.co/mYZwT273cn https://t.co/CwTB33DT0L,1711633906401952103,https://pbs.twimg.com/media/F8Dx9gua0AAgdYN.jpg,,in,"Bekasi Timur, Indonesia",0,1,2,https://x.com/SuhenSetiani/status/1711633906401952103,1237685533012152320,SuhenSetiani
1711595746456379482,Tue Oct 10 04:13:20 +0000 2023,452,Nathan Tjoe-A-on (currently in Swansea City) Target naturalisasi selanjutnya. Bisa main di LB dan CB. Dugaan semakin menguat Shin Tae-young mau mereplikasi skema 4 CBs ~ https://t.co/1rESTj8U29,1711595746456379482,https://pbs.twimg.com/media/F8DOjSQbMAAtHpN.jpg,,in,Indonesia,8,18,49,https://x.com/aunrrahman/status/1711595746456379482,2230091384,aunrrahman
1701770743384818115,Wed Sep 13 01:32:17 +0000 2023,0,Timnas Indonesia Lolos ke Putaran Final AFC U23 Shin Tae-Young Terima Kasih Kepada Pemain #beritaterkini #beritabolaterkini #pikiranrakyat . Selengkapnya: https://t.co/xgQhUQbizd https://t.co/y6SAkFAKPQ,1701770743384818115,https://pbs.twimg.com/media/F53nFkaaQAA53Vg.jpg,,in,Indonesia,0,0,0,https://x.com/pikiran_rakyat/status/1701770743384818115,58880688,pikiran_rakyat
1701678465072890193,Tue Sep 12 19:25:36 +0000 2023,0,Polesan Shin Tae-young Mulai Berkilau https://t.co/8tOYnTErtG,1701678465072890193,,,in,Jakarta Indonesia,0,0,0,https://x.com/ganjawulung/status/1701678465072890193,142593634,ganjawulung
1701677830982263161,Tue Sep 12 19:23:05 +0000 2023,1,Polesan Shin Tae-young Mulai Berkilau https://t.co/f0To2dVGO8,1701677830982263161,,,in,Indonesia,0,0,0,https://x.com/kompasiana/status/1701677830982263161,23786106,kompasiana
1700947169912709521,Tue Sep 12 03:52:55 +0000 2023,0,@gibran_tweet Lebih percaya shin tae-young beliau jelas berpengalaman dalam dunia sepak bola jadi tau kualitas baik atau tidaknya stadion,1701443747219902911,,gibran_tweet,in,,0,0,0,https://x.com/rizkianugrah999/status/1701443747219902911,1689709241035268096,rizkianugrah999
1700947169912709521,Mon Sep 11 02:45:53 +0000 2023,0,@gibran_tweet Berita bln agustus rumput manahan langsung d bagusin bln septemberrumput sdh rapi d puji langsung sm shin tae-young......hahahaha #justkidding,1701064488685011218,,gibran_tweet,in,,0,0,0,https://x.com/FrediAhmad8/status/1701064488685011218,1512716095786217475,FrediAhmad8
1699660626208182734,Thu Sep 07 05:47:26 +0000 2023,47,Berikut adalah perbandingan pemain naturalisasi sebelum dan sesudah era Shin Tae-young Kenapa lebih banyak Bek ya? https://t.co/FRFyZkHDaU,1699660626208182734,https://pbs.twimg.com/media/F5ZoVAVbIAACX-D.jpg,,in,Indonesia,1,12,2,https://x.com/Box2BoxBola/status/1699660626208182734,1956656786,Box2BoxBola
1698133688171860388,Sun Sep 03 00:39:55 +0000 2023,3,Laga Indonesia vs Turkmenistan akan tersaji di Stadion Gelora Bung Tomo (GBT) Surabaya Jumat (8/9) mendatang. Sebanyak 24 pemain telah dipanggil pelatih Shin Tae-young. Termasuk tiga striker Dendy Sulistyawan Dimas Drajad dan Aji Kusuma. @erickthohir #GueBarengErickThohir https://t.co/g4xvBxppHQ,1698133688171860388,https://pbs.twimg.com/ext_tw_video_thumb/1698133563546427392/pu/img/4DM4V-4_Zx6gN-mu.jpg,,in,,0,0,3,https://x.com/Bakoto45/status/1698133688171860388,1651918918112641024,Bakoto45
1697540077742879132,Fri Sep 01 09:21:07 +0000 2023,5,Ketum PSSI Erick Thohir bersama para Coach mulai dari Shin Tae-Young Indra Sjafri dan Bima Sakti ingin fokus jelang hadapi Asian Games 2023 dan AFC Championship yang akan datang. @erickthohir #GueBarengErickThohir https://t.co/m5dPirNlXB,1697540077742879132,https://pbs.twimg.com/ext_tw_video_thumb/1697540007878402048/pu/img/0o969XCF3PbMm7v0.jpg,,in,"Tangerang, Banten",0,0,4,https://x.com/mlvnnn_/status/1697540077742879132,575962595,mlvnnn_
1692574661677338788,Fri Aug 18 16:30:20 +0000 2023,0,setiap u-23 dipegang shin tae-young selalu kalah tapi dipegang pelatih lokal bisa sampe juara.,1692574661677338788,,,in,"Jawa Barat, Indonesia",0,1,0,https://x.com/andrifrmnsyahh/status/1692574661677338788,1222063739588857858,andrifrmnsyahh
1692460823187443964,Fri Aug 18 08:57:59 +0000 2023,0,Shin Tae-young: Juara Piala AFF U-23 2023 Bukan Jadi Target Lalu? https://t.co/F85WPJy5uN,1692460823187443964,,,in,"Bekasi, Jawa Barat",0,0,0,https://x.com/bekasi_24_jam/status/1692460823187443964,780407543654776832,bekasi_24_jam
1691778737304731668,Wed Aug 16 11:47:37 +0000 2023,5,Sebelum berangkat ke Thailand untuk laga AFF Ketum PSSI Erick Thohir beri semangat kepada Squad Garuda U-23 dan Coach Shin Tae-Young agar bisa pulang membawa Piala dan membanggakan Indonesia. @erickthohir #GueBarengErickThohir https://t.co/wRaaSYdnEr,1691778737304731668,https://pbs.twimg.com/ext_tw_video_thumb/1691778605683228672/pu/img/WpcVI5Hmm4snXsm2.jpg,,in,"Tangerang, Banten",0,1,2,https://x.com/mlvnnn_/status/1691778737304731668,575962595,mlvnnn_
1680110067411189760,Sat Jul 15 07:00:29 +0000 2023,1,Tepat pada hari ini di Bali Coach Shin Tae-Young dan Indra Sjafri hadiri seleksi timnas U-17 di United Training Center WONWOO | Luis Milla | Ezra | Naik | Guru BK | Liverpool | Happy Ending #GarudaMendunia #Garuda1745 https://t.co/Le1HTGFX38,1680110067411189760,https://pbs.twimg.com/media/F1DzM8qaUAESpQX.jpg,,in,Indonesia,0,0,0,https://x.com/buddhigurung5/status/1680110067411189760,610696957,buddhigurung5
1671323738279665665,Wed Jun 21 01:06:45 +0000 2023,10,Erick Thohir ini yang terbaik untuk Timnas Ketua umum PSSI akan memberikan kontrak setahun kepada Shin tae-young untuk tangani Timnas Indonesia #GueBarengErickThohir @erickthohir https://t.co/Mr9lmS3kj6,1671323738279665665,https://pbs.twimg.com/media/FzG8E9HakAA8RGt.jpg,,in,,0,0,7,https://x.com/gelas_bambu_/status/1671323738279665665,1426730791959027712,gelas_bambu_
1670714727398543361,Mon Jun 19 08:46:46 +0000 2023,1,Shin Tae-young Komentari Absennya Messi di FIFA Matchday Vs Indonesia #NewsRCTIPlus @RCTIPlus https://t.co/dfnVnP3TKt,1670714727398543361,,,in,Studio 13 RCTI,0,0,0,https://x.com/dahSyatMusik/status/1670714727398543361,74904593,dahSyatMusik
